13
3000000, 300000, 1/3/2021, 
3000000, 350000, 2/4/2021, 
3000000, 400000, 3/5/2021, 
3000000, 400000, 1/6/2021, 
3000000, 500000, 2/7/2021, 
3000000, 450000, 1/8/2021, 
3000000, 350000, 5/9/2021, 
3000000, 600000, 1/10/2021, 
3000000, 550000, 6/11/2021, 
3000000, 650000, 1/12/2021, 
3000000, 600000, 2/1/2022, 
3000000, 400000, 2/2/2022, 
3000000, 500000, 1/3/2022, 
13
2500000, 600000, 2/3/2021, 
2500000, 650000, 1/4/2021, 
2500000, 500000, 1/5/2021, 
2500000, 700000, 3/6/2021, 
2500000, 550000, 1/7/2021, 
2500000, 500000, 7/8/2021, 
2500000, 650000, 1/9/2021, 
2500000, 800000, 1/10/2021, 
2500000, 600000, 2/11/2021, 
2500000, 750000, 1/12/2021, 
2500000, 550000, 1/1/2022, 
2500000, 650000, 3/2/2022, 
2500000, 700000, 1/3/2022, 
13
4000000, 200000, 1/3/2021, 
4000000, 250000, 1/4/2021, 
4000000, 300000, 2/5/2021, 
4000000, 300000, 1/6/2021, 
4000000, 400000, 1/7/2021, 
4000000, 250000, 1/8/2021, 
4000000, 250000, 2/9/2021, 
4000000, 400000, 1/10/2021, 
4000000, 350000, 4/11/2021, 
4000000, 500000, 1/12/2021, 
4000000, 300000, 3/1/2022, 
4000000, 450000, 1/2/2022, 
4000000, 400000, 3/3/2022, 
13
3000000, 400000, 1/3/2021, 
3000000, 450000, 1/4/2021, 
3000000, 300000, 2/5/2021, 
3000000, 500000, 1/6/2021, 
3000000, 550000, 1/7/2021, 
3000000, 450000, 2/8/2021, 
3000000, 350000, 1/9/2021, 
3000000, 300000, 3/10/2021, 
3000000, 550000, 1/11/2021, 
3000000, 550000, 2/12/2021, 
3000000, 400000, 1/1/2022, 
3000000, 450000, 1/2/2022, 
3000000, 550000, 5/3/2022, 
13
3000000, 600000, 2/3/2021, 
3000000, 450000, 1/4/2021, 
3000000, 500000, 1/5/2021, 
3000000, 300000, 1/6/2021, 
3000000, 450000, 3/7/2021, 
3000000, 500000, 1/8/2021, 
3000000, 450000, 2/9/2021, 
3000000, 450000, 1/10/2021, 
3000000, 550000, 1/11/2021, 
3000000, 500000, 5/12/2021, 
3000000, 600000, 1/1/2022, 
3000000, 350000, 1/2/2022, 
3000000, 300000, 3/3/2022, 
